B1.,,Actionarea acceleratorului are ca efect:,
,a.,reducerea vitezei de zbor,
,b.,dublarea vitezei de zbor,
,c.,cresterea vitezei de zbor ,X
B2.,,O parapanta omologata LTF – 1 respectiv EN – A este destinata:,
,a.,pilotilor de competitie,
,b.,pilotilor incepatori,X
,c.,exclusiv pilotilor de acrobatie,
B3.,,Riscul de twist este mai mare cand:,
,a.,chinga de piept este foarte stransa,X
,b.,folosim seleta este de tip cocoon,X
,c.,chinga de piept este foarte larga ,
B4.,,Tensiunea in comenzi creste datorita:,
,a.,cresterii presiunii in voalura,
,b.,cresterii unghiului de incidenta,X
,c.,cresterii vitezei de zbor,
B5.,,O parapanta omologata LTF 2 (EN –C) este destinata:,
,a.,exclusiv pilotilor incepatori,
,b.,exclusiv zborului in tandem,
,c.,exclusiv pilotilor cu nivel mediu/ridicat de pregatire,X
B6.,,Alungirea aripii este: ,
,a.,raportul dintre coarda medie si anvergura,X
,b.,raportul dintre profunzimea maxima a aripii si anvergura ,
,c.,raportul dintre grosimea maxima relativa a profilului si anvergura,
B7.,,Aripa de parapanta prezinta torsiune geometrica: ,
,a.,da,X
,b.,nu ,
,c.,torsiunea geometrica nu are legatura cu aerodinamica,
B8.,,Profilul aripii este dat de : ,
,a.,membranele intercheson ,X
,b.,proiectia aripii pe un plan orizontal ,
,c.,suprafata aripii desfasurata,
B9.,,Lungimea suspantelor poate influenta finetea parapantei: ,
,a.,da,X
,b.,nu ,
,c.,numai o data cu cresterea incarcarii alare. ,
B10.,,Incarcarea alara se refera la : ,
,a.,raportul dintre greutatea totala in zbor si suprafata portanta ,X
,b.,greutatea maxima in zbor ,
,c.,sarcina nimima si maxima a parapantei,
B11.,,La actionarea in jos a comenzilor unghiul de incidenta: ,
,a.,creste ,X
,b.,scade ,
,c.,ramane constant,
B12.,,Alegeti afirmatia falsa:,
,a.,parapanta are profil aerodinamic,
,b.,parapanta nu are profil aerodinamic,X
,c.,profilul aerodinamic al parapantei poate fi identificat ca proiectia acesteia pe un plan orizontal,
B13.,,Nodul pe o suspanta are drept efect:,
,a.,scade rezistenta la rupere a suspantei respective,X
,b.,creste rezistenta la rupere a suspantei respective,
,c.,nu influenteaza rezistenta la rupere a suspantelor,
B14.,,Alegeti afirmatia adevarata:,
,a.,comenzile actioneaza asupra stabilizatoarelor,
,b.,comenzile actioneaza asupra liniei de suspante B,
,c.,comenzile actioneaza asupra bordului de fuga,X
B15.,,Suspantele fac legatura dintre:,
,a.,"cordul de atac, bordul de fuga si seleta",
,b.,voalura si chingi portsuspante,X
,c.,voalura si carabinierele de acrosaj,
B16.,,Bordul de fuga este:,
,a.,partea din fata a profilului ,
,b.,partea centrala a  aripii,
,c.,partea din spate a aripii,X
B17.,,Alegeti afirmatia falsa:,
,a.,intradosul aripii este in partea inferioara a profilului,
,b.,extradosul aripii este in partea superioara a profilului,
,c.,intradosul este in partea superioara a profilului,X
B18.,,Alegeti afirmatia corecta:,
,a.,nodurile slabesc rezistenta la rupere a suspantelor,X
,b.,radiatia ultravioleta degradeaza kevlarul,X
,c.,suspantele din kevlar nu au nevoie de manta de protectie,
B19.,,Tesatura din care este construita voalura trebuie sa fie:,
,a.,deformabila atat pe urzeala cat si pe batatura,
,b.,nedeformabila pe urzeala si pe batatura,X
,c.,elastica pe orice directie,
B20.,,Alegeti afirmatia corecta:,
,a.,distanta dintre punctele de acrosaj a seletei modifica comportamentul parapantei in zbor,X
,b.,distanta dintre punctele de acrosaj a seletei modifica nu comportamentul parapantei in zbor,
,c.,distanta dintre punctele de acrosaj a seletei este importanta la testele de omologare,X
B21.,,Omolgarea parapantei arata:,
,a.,"performantele parapantei: finete maxima, viteza minima de infundare, viteza maxima",
,b.,nivelul de pilotaj necesar,X
,c.,factorul de sarcina admis,
B22.,,Alegeti afirmatia corecta:,
,a.,comenzile actioneaza asupra bordului de atac,
,b.,cu ajutorul comenzilor modificam unghiul de incidenta,X
,c.,manevra URECHI se face cu ajutorul comenzilor,
B23.,,Stabilitatea pe directie a parapantei este asigurata de:,
,a.,bordul de fuga,
,b.,efectul de pendul,
,c.,stabilizatoare (capetele de plan),X
B24.,,Membranele intercheson au rolul :,
,a.,de a mentine presiunea dinamica in interiorul voalurii,
,b.,de a prelua sarcina de pe intrados ,
,c.,de a materializa profilul aerodinamic al parapantei,X
B25.,,Caracteristicile si performantele de zbor ale parapantei sunt influentate de:,
,a.,gradul de uzura al voalurii,X
,b.,lungimea suspantelor,X
,c.,altitudinea de zbor,X
B26.,,Acceleratorul modifica:,
,a.,unghiul de incidenta,X
,b.,scheletul profilului,
,c.,coarda profilului,
B27.,,Omologarea parapantelor are drept scop: ,
,a.,verificarea performantelor de zbor ,
,b.,verificarea gradului de securitate,X
,c.,ambele de la pct a. si b.,
B28.,,Alegeti afirmatia corecta:,
,a.,seletele tip cocoon au rezistenta la inaintare mai mica fata de seletele clasice,X
,b.,seletele tip cocoon au rezistenta la inaintare mai mare fata de seletele clasice,
,c.,seletele tip cocoon au protectie la impact mai buna decat seletele clasice,
B29.,,Alegeti afirmatia corecta:,
,a.,sistanta dintre punctele de acrosaj are influenta asupra comportamentului parapantei,X
,b.,sistanta dintre punctele de acrosaj are influenta doar asupra confortului pilotului,
,c.,sistanta dintre punctele de acrosaj se regleaza intr-un domeniu strict,X
B30.,,Voalura este confectionata din material sintetic in carouri( Rip-Stop) pentru:,
,a.,a mentine mai bine presiunea in voalura,
,b.,pentru a mari rezistenta materialului,X
,c.,a limita extinderea in caz de ruptura,X
B31.,,  Seletele dotatate cu protector dorsal sunt recomandata:,
,a.,doar elevilor piloti in perioada de scolarizare,
,b.,tuturor pilotilor indiferent de nivel,X
,c.,doar elevilor cu nivel superior de pregatire,
B32.,,Suspantele parapantei sunt:,
,a.,elasice,
,b.,statice,X
,c.,pe linia A si B sunt statice iar C si D elastice,
B33.,,Cate categorii de greutate regasim la parapante:,
,a.,"fiecare producator are intervale de greutate proprii, conform omologarilor",X
,b.,"sunt 3 nivele : S, M si L",
,c.,"sunt 4 nivele: S,M,L si XL",
B34.,,Incarcarea peste limita superioara a parapantei are ca efect:,
,a.,cresterea tuturor vitezelor,X
,b.,scaderea vietezei la finete maxima,
,c.,scaderea vitezei minime de infundare,
B35.,,Care este numarul standard de chingi portsuspante la parapante:,
,a.,nu exista un numar standard,X
,b.,4,
,c.,5,
B36.,,Care sunt riscurile ce apar o data cu uzura voalurii:,
,a.,finetea maxima se obtine doar cu acceleratorul actionat la maximum,
,b.,pericol de angajare prematura si deepstall,X
,c.,scade viteza minima de infundare,
B37.,,Alegeti afirmatia corecta:,
,a.,modificarea configuratiei suspantelor altereaza gradul de securitate in zbor,X
,b.,modificarea configuratiei suspantelor altereaza doar performantele de zbor ale parapantei,
,c.,modificarea configuratiei suspantelor nu este critica decat asupra maneabilitatii parapantei,
B38.,,Alegeti afirmatia corecta:,
,a.,prelungirea suspantelor de comanda duce la marirea vitezei maxime de zbor,
,b.,prelungirea suspantelor de comanda duce la marirea finetii in zbor,
,c.,prelungirea suspantelor de comanda duce la marirea cursei comenzilor spre in jos,X
B39.,,Alegeti categoria cu care este posibil zborul de distanta (XC):,
,a.,LTF 1 / EN-A,X
,b.,LTF 1-2 /  EN-B,X
,c.,LTF 2/ EN-C,X
B40.,,Pentru a zbura cu pasager este necesar:,
,a.,parapanta speciala pentru zborul cu pasager,X
,b.,parapanta omologata LTF 1 / EN A,
,c.,parapanta omologata LTF 2-3 / EN-D,
B41.,,Finetea parapantei este direct influentata de :,
,a.,lungimea suspantelor,X
,b.,alungirea aripii,X
,c.,clasa de omologare,
B42.,,Seleta tip cocoon  influenteaza:,
,a.,viteza minima de infundare,
,b.,finetea parapantei,X
,c.,viteza minima de infundare,
B43.,,Ce regim de zbor este potrivit la o aripa LTF1 / ENA pentru spiralarea in termica:,
,a.,regim de zbor la finete,
,b.,regim de zbor la infundare minima,X
,c.,regim de zbor la viteza maxima,
B44.,,Cate regimuri de zbor prezinta parapanta:,
,a.,3,X
,b.,2,
,c.,5,
B45.,,Care este zona de uzura maxima a voalurii de parapanta?,
,a.,"extrados treimea anterioara, masurand de la bordul de atac",X
,b.,tot extradosul,
,c.,tot intradosul,
B46.,,Depasirea intervalului de greutate poate sa duca la:,
,a.,modificarea comportamentului parapantei,X
,b.,modificarea performantelor parapantei,X
,c.,modificarea formei parapantei,
B47.,,Unghiul de incidenta se masoara:,
,a.,fata de orizontala,
,b.,fata de directia de zbor,
,c.,intre corda profilului si directia de curgere a fileurilor de aer,X
B48.,,Alegeti afirmatia corecta:,
,a.,toate suspantele sunt fixe,
,b.,suspantele de comanda sunt mobile,X
,c.,toate suspantele sunt mobile,
B49.,,Alegeti afirmatia corecta:,
,a.,orice parapanta poate fi lansata prin remorcaj la mosor,
,b.,orice parapanta poate fi folosita la zbor cu motor,
,c.,orice parapanta poate fi folosita la exercitii de gonflaj la sol,X
B50.,,Constructiv voalura se compune din:,
,a.,"extrados, intrados, membrane intercheson",X
,b.,"extrados, intrados, bord de atac, bord de fuga",
,c.,"extrados, intrados, stabilizatoare",
B51.,,Alegeti elementele care duc la uzura prematura a volaurii:,
,a.,expunere la radiatie ultravioleta,X
,b.,zbor in atmosfera salina ,X
,c.,remorcaj la mosor,
B52.,,Scheletul profilului este materializat de:,
,a.,forma profilului aerodinamic,
,b.,totalitatea elemntelor de ranforsare din interiorul aripii,
,c.,nu este materializat ,X
B53.,,O parapanta cu mai multe membrane intercheson va avea:,
,a.,finete mai mare,X
,b.,finete mai mica,
,c.,viteza de angajare mai mica,
B54.,, La parapanta centrul de greutate este:,
,a.,la nivelul voalurii,
,b.,la nivelul pilotului,X
,c.,deasupra voalurii,
B55.,,Alegeti afirmatia corecta:,
,a.,profilul aerodinamic al parapantei se regaseste in proiectia voalurii pe un plan orizontal,
,b.,"parapanta nu are profil aerodinamic ci doar extrados, intrados, bord de atac si bord de fuga",
,c.,profilul aerodinamic al parapantei este materializat de membranele intercheson,X
B56.,,Alegeti afirmatia corecta,
,a.,polara se gaseste pe extrados,
,b.,polara se gaseste pe intrados,
,c.,polara este o forma sintetica de descriere a performantelor de zbor,X
B57.,,In cazul aripii de parapanta regasim: ,
,a.,torsiune geometrica ,X
,b.,numai torsiune transversala ,
,c.,numai torsiune aerodinamica,
B58.,,In zbor orizontal centrul de greutate este situat: ,
,a.,sub centrul de presiune ,X
,b.,deasupra centrului de presiune ,
,c.,coincide cu centrul de presiune,
B59.,,Alegeti afirmatia corecta:,
,a.,toate parapantele au profil reflex,
,b.,toate parapantele au profil aerodinamic,X
,c.,parapantele nu au profil aerodinamic,
B60.,,Alegeti afirmatia corecta:,
,a.,suspantele parapantei sunt elastice,
,b.,toate suspantele parapantei sunt fixe,
,c.,suspantele de comanda nu sunt fixe,X
B61.,,Alegeti afirmatia corecta:,
,a.,"din polara putem deduce sarcina utila, viteza maxima si viteza minima a parapantei",
,b.,din polara putem deduce regimurile de zbor ale parapantei,X
,c.,din polara putem deduce forma profilului parapantei,
B62.,,Alegeti afirmatia corecta:,
,a.,aripile omologate LTF 2-3 / EN –D se folosesc la scolarizare,
,b.,aripile omologate LTF 2-3 / EN –D se folosesc de regula de catre piloti cu minimum de experienta,
,c.,aripile omologate LTF 2-3 / EN –D se folosec doar de piloti avansati,X
B63.,, Alegeti categoria de omologare folosita pentru aripile de scoala:,
,a.,LTF 1 / EN-A,X
,b.,LTF 2 / EN-C,
,c.,LTF 2-3 / EN-D,
B64.,,Alegeti clasa de omologare cu nivelul de securitate cel mai ridicat:,
,a.,LTF 1 / EN-A,X
,b.,LTF 1-2 / EN-B,
,c.,LTF 2  / EN-C,
B65.,,"O aripa cu vechime de 15 ani, care a zburat in acest interval de timp, prezinta:",
,a.,uzura fizica,
,b.,uzura morala,
,c.,uzura fizica si morala,X
B66.,,Intervalul de greutate se refera la :,
,a.,greutatea totala in zbor: pilot echipat+seleta+parasuta de rezerva+parapanta,X
,b.,greutatea suspendata: pilot echipat+seleta+parasuta de rezerva,
,c.,greutatea pilotului complet echipat,
B67.,,Alegeti afirmatia corecta:,
,a.,parapantele se comporta identic la nivelul marii sau la altitudini peste 6000m,
,b.,performantele si comportamentul parapantei depind de densitatea aerului,X
,c.,performantele si comportamentul parapantei depind numai de greutatea totala in zbor,
B68.,,Stabilizatoarele parapantei au rol de:,
,a.,stabilizeaza parapanta pe directie,X
,b.,stabilizeaza unghiul de incidenta al parapantei,
,c.,stabilizeaza unghiul de panta al parapantei,
BB69,,69. Care dintre următoarele materiale sunt utilizate în construcția pânzei de parapantă?,,c,c
,a,Aramid (Kevlar),,0,c
,b,Polietilenă (Dyneema),,0,c
,c,Poliamidă (nailon),X,X,c
,d,Policlorură de vinil (PVC),,0,
BB70,,"70. Termenul de material ""ripstop"" înseamnă",,c,c
,a,întărirea zonelor puternic încărcate ale parapantei.,,0,c
,b,barierele de rupere care împiedică răspândirea rupturii de la un element al parapantei la altul.,,0,c
,c, tehnica în care firel mai rezistente se interconectează la intervale regulate în urzeala și bătătura țesăturii pentru a preveni continuarea rupturii. ,X,X,c
,d," un strat special de protecție care mărește elasticitatea țesăturii și, prin urmare, îmbunătățește rezistența la rupere a țesăturii.",,0,
BB71,,71. Rezistența la ruperea și deșirare a materialelor folosite laparapante este îmbunătățită prin,,b,b
,a,impregnarea pânzei cu un strat de protecție.,,0,b
,b,"tehnica ""ripstop"" în țesătură. ",X,X,b
,c,interconectarea firelor cu o elasticitate mai mare.,,0,
,d,țeserea extrem de fină a materialului.,,0,
BB72,,"72. Când vorbim de parapante, ce înseamnă termenul de porozitate?",,c,c
,a,Rezistența la rupere a țesăturii.,,0,c
,b,Rezistența țesăturii la încovoiere.,,0,c
,c,Permeabilitatea la aer a unui material. ,X,X,c
,d,Compoziția suprafeței superioare a aripii.,,0,
BB73,,73. Porozitatea materialelor utilizate pentru parapante (la volaură),,b,b
,a,ar trebui să fie cât mai mare posibil.,,0,b
,b,ar trebui să fie cât mai mică posibil. ,X,X,b
,c,"nu trebuie să fie niciodată sub o valoare predeterminată, deoarece stratul limită devine prea laminar.",,0,
,d," nu este important, rezistența mecanică este cea care contează.",,0,
BB74,,74. Țesăturile folosite pentru parapante sunt impregnate cu diferiți lianți pentru a,,b,b
,a,crește elasticitatea și rezistența mecanică.,,0,b
,b,micșora porozitatea și elasticitatea. ,X,X,b
,c,crește porozitatea și rezistența mecanică.,,0,
,d,micșora elasticitatea și rezistența mecanică.,,0,
BB75,,75. Materialele acoperite cu poliester (Mylar) sunt diferite de cele acoperite cu poliuretan sau silicon pentru că au,,a,a
,a,elasticitate diagonală mai mică. ,X,X,a
,b,"o mai mare elasticitate pe direcția de ""bătătură"" a țesăturii.",,0,
,c,sensibilitate redusă la radațiile UV.,,0,
,d,porozitate mai mare.,,0,
BB76,,76. Stratul de impregnare al țesăturilor folosite la parapante,,b,b
,a,crește sensibilitatea la radiațiile UV.,,0,b
,b,reduce porozitatea. ,X,X,b
,c,crește elasticitatea.,,0,
,d,reduce rezistența mecanică.,,0,
BB77,,77. Stratul de impregnare al țesăturilor folosite la parapante,,a,a
,a,reduce sensibilitatea țesăturii la radiațiile UV. ,X,X,a
,b,crește porozitatea țesăturii.,,0,
,c,crește elasticitatea țesăturii.,,0,
,d,reduce rezistența mecanică a țesăturii.,,0,
BB78,,78. Stratul de impregnare al țesăturilor folosite la parapante,,c,c
,a,crește sensibilitatea țesăturii la radiațiile UV.,,0,c
,b,crește porozitatea țesăturii.,,0,c
,c,scade elasticitatea țesăturii. ,X,X,c
,d,scade rezistența mecanică a țesăturii.,,0,
BB79,,79. Stratul de impregnare al țesăturilor folosite la parapante,,d,d
,a,crește sensibilitatea țesăturii la radiațiile UV.,,0,d
,b,crește porozitatea țesăturii.,,0,d
,c,crește elasticitatea țesăturii.,,0,d
,d,crește rezistența mecanică a țesăturii. ,X,X,d
BB80,,"80. Ce efecte asupra performanței voalurii are stratul de impregnare vechi, deteriorat sau insuficient?",,d,d
,a,Parapanta este greu de manevrat și are tendință de instabilitate de-a lungul axei longitudinale.,,0,d
,b," Întreaga gamă de viteză a parapantei crește, iar tendința de închidere crește.",,0,d
,c, Întregul interval de viteză al parapantei se reduce și curba polară devine mai plată.,,0,d
,d," Viteza de angajare este mai mare, precum si tendința de a intra in angajare parașutată. ",X,X,d
BB81,,81. Stratul de protecție a voalurii poate fi deteriorat considerabil de către,,b,b
,a,manevre extreme care duc la închideri ale voalurii.,,0,b
,b,"curățarea voalurii cu produse de curățare, agresive, de uz casnic. ",X,X,b
,c,depozitarea regulată a parapantei într-un loc întunecat protejat de lumina soarelui.,,0,
,d,depozitarea parapantei cât mai uscate într-o încăpere rece.,,0,
BB82,,82. Stratul de protecție a voalurii poate fi deteriorat considerabil de către,,d,d
,a,manevre extreme care duc la închideri ale voalurii.,,0,d
,b,curățarea voalurii cu apă rece.,,0,d
,c,depozitarea regulată a parapantei într-un loc întunecat protejat de lumina soarelui.,,0,d
,d,depozitarea parapantei într-o încăpere umedă și cu variații mari de temperatură. ,X,X,d
BB83,,83. Stratul de protecție a voalurii poate fi deteriorat considerabil de către,,c,c
,a,manevre extreme care duc la închideri ale voalurii.,,0,c
,b,curățarea voalurii cu apă rece.,,0,c
,c,"depozitarea regulată a parapantei într-un loc luminos, expus luminii directe a soarelui. ",X,X,c
,d,depozitarea parapantei într-o încăpere răcoroasă.,,0,
BB84,,84. Stratul de protecție a voalurii poate fi deteriorat considerabil de către,,a,a
,a,"frecarea de materiale abrazive cum ar fi stânci, nisip, sare etc. ",X,X,a
,b,curățarea voalurii cu apă rece.,,0,
,c,depozitarea regulată a parapantei într-un loc întunecat protejat de lumina soarelui.,,0,
,d,depozitarea parapantei într-o încăpere răcoroasă.,,0,
BB85,,85. O parapantă care a intrat în contact cu apa de mare ar trebui să fie,,c,c
,a,uscată cât mai repede posibil prin gonflare în briza mării.,,0,c
,b,uscată la umbră si apoi bine scuturată pentru a elimina sarea.,,0,c
,c,clătită bine cu apă dulce și apoi uscată. ,X,X,c
,d,testată porozitatea de un expert.,,0,
BB86,,86. Cea mai mare sarcină pe o aripă în timpul zborului este,,a,a
,a,pe extradosul aripii lângă bordul de atac. ,X,X,a
,b,pe intradosul aripii lângă bordul de atac.,,0,
,c,pe extradosul aripii lângă bordul fe dugă.,,0,
,d,pe intradosul aripii lângă bordul fe dugă.,,0,
BB87,,87. Care sunt semnele îmbătrânirii la o parapantă?,,a,a
,a,Porozitate crescută; angajarea la o viteză mai mare; o tendință mai pronunțată de a intra in angajare parașutată. ,X,X,a
,b,Elasticitatea scăzută; presiunea internă redusă; planorul reacționează mai brusc la comenzi.,,0,
,c,Materialul se întinde din cauza încărcării continue; crește grosimea profilului; viteza se reduce pe întreagul interal al curbei polare.,,0,
,d,Materialul se contractă datorită expunerii UV constante; profilul devine mai plat; viteza crește pe întreagul interval al curbei polare.,,0,
BB88,,88. Care este scopul traveelor și întăriturilor diagonale dintr-o aripă?,,b,b
,a,De a limita circulația aerului în interiorul parapantei și pentru a minimiza astfel porozitatea aripii.,,0,b
,b,De a distribui încărcarea din suspante în mod uniform pe suprafața superioară a aripii. ,X,X,b
,c,De a îmbunătăți rezistența structurală a aripii pe axa longitudinală și transversală.,,0,
,d,"De a regla circulația aerului în interiorul aripii și, prin urmare, de a menține o presiune internă uniformă.",,0,
BB89,,89. Sarcina pe travee este cea mai mare,,a,a
,a,în jumătatea din față a aripii unde sunt atașate suspantele. ,X,X,a
,b,între punctele de legătură ale suspantelor de la jumătatea dinfață a aripii.,,0,
,c,la jumătatea din spate a aripii unde sunt atașate suspantele.,,0,
,d,între punctele de racordare a suspantelor la jumătatea din spate a aripii.,,0,
BB90,,90. În care din următoarele cazuri traveele au cea mai mare încărcare,,d,d
,a,Într-o spirală.,,0,d
,b,Într-o termică puternică.,,0,d
,c,"În timp ce zburăm cu ""urechi mari"".",,0,d
,d,Într-o angajare cu B-urile. ,X,X,d
BB91,,91. Producătorii reduc deformarea traveelor la care sunt atașate suspantele prin,,b,b
,a,aranjarea orificiilor din travee direct peste punctele de atașare ale suspantelor.,,0,b
,b,răspândirea sarcinii pe o suprafață mai mare a traveelor folosind armături triunghiulare pe zonele cu cele mai mari incărcări. ,X,X,b
,c,minimizarea numărului de puncte de atașare a suspantelor.,,0,
,d,alegerea unui profil de aripă relativ gros.,,0,
BB92,,"92. De ce sunt adăugate întăriturile diagonale între travee, în construcția parapantelor?",,d,d
,a,Ajută la o redeschidere blândă și continuă a aripii după o închidere.,,0,d
,b,Inhibă în special deformarea permanentă a aripii ca rezultat al întinderii lente a materialului.,,0,d
,c,"Inhibă epulzarea rapidă a aerului din celule individuale și, prin urmare, inhibă închiderile.",,0,d
,d,"Permit ca sarcina de pe extradosul aripii să fie susținută de un număr redus de suspante, reducând astfel rezistența la înaintare. ",X,X,d
BB93,,93. Orificiile intercelulare (din travee),,c,c
,a,Fac posibilă o presiune egală între suprafața superioară și cea inferioară a aripii.,,0,c
,b,Distribuie uniform încărcătura generată de portanță pe întregul perete al celulei.,,0,c
,c,"Ajută la umplerea celulelor cu aer, atunci când bordul de atac e închis sau celula nu are priză de aer. ",X,X,c
,d,Permite o egalizare între presiunea statică din interior și presiunea dinamică din afara aripii.,,0,
BB94,,"94. Parapanta X are 18 celule, parapanta Y are 24 de celule. Ambele au o suprafață de 24m2 și o anvergură de 10m. Ele sunt construite cu aceleași materiale și principii. Care din urmatoarele afirmații este adevarată?",,a,a
,a,Y are un profil mai precis și un volum de împachetare mai mare decât X. ,X,X,a
,b,Y are o alungire mai mare și un volum de împachetare mai mare decât X.,,0,
,c,X are un profil mai gros și un volum de împachetare mai mare decât Y.,,0,
,d,"X are o alungire mai mică decât Y, dar ambele au același volum de împachetare.",,0,
BB95,,"95. În ce direcție, poate încărcarea pe materialul ripstop pe o perioadă de timp, provoca cele mai multe deformări?",,d,d
,a,"Încărcări paralele cu direcția firului ""bătătură"" (weft) în cârpă.",,0,d
,b,"paralele cu direcția firului ""urzeală"" (warp) în cârpă.",,0,d
,c,Încărcări verticale (la 90 de grade) cu materialul.,,0,d
,d,Încărcări diagonale în raport cu construcția materialului. ,X,X,d
BB96,,96. Dacă cusătura pe o voalură este prea apropiată,,c,c
,a,rezistența la rupere este mărită.,,0,c
,b,cusătura se mulează mai bine pe forma pânzei / aripii.,,0,c
,c,materialul este perforat și îsă pierde din rezistență. ,X,X,c
,d,porozitatea este minimizată.,,0,
BB97,,97. Cum se grupeză suspantele unei parapante?,,d,d
,a,"prin culoarea lor; de exemplu galben, roșii.",,0,d
,b,"prin diametrul lor; de exemplu 0,9 mm, 1,3 mm, 1,5 mm.",,0,d
,c,"prin materialele lor; de exemplu poliester, dyneema, kevlar, poliamidă.",,0,d
,d,"prin punctul lor de atașare la voalură; de exemplu suapantele A, B, C, D. ",X,X,d
BB98,,98. Unde se atașează suspantele A de voalură?,,d,d
,a,Pe bordul de fugă.,,0,d
,b,Pe stabilizatoare.,,0,d
,c,Pe axa longitudinală.,,0,d
,d,Pe bordul de atac. ,X,X,d
BB99,,"99. Ce cerințe, printre altele, trebuie să îndeplinească suspantele moderne?",,c,c
,a,"Elasticitate scăzută, capacitate redusă de încărcare cu un diametru minim.",,0,c
,b,"Elasticitate ridicată, capacitate redusă de încărcare cu un diametru minim.",,0,c
,c,"Elasticitate scăzută, capacitate ridicată de încărcare cu un diametru minim. ",X,X,c
,d,"Elasticitate ridicată, capacitate ridicată de încărcare cu un diametru minim.",,0,
BB100,,"100. La o parapantă modernă, care este întinderea tolerată a unei suspante de 6 m, sub sarcină de 50 N (5 kg)?",,b,b
,a,Suspantele pentru parapantele moderne sunt realizate din materiale care nu se întind.,,0,b
,b,aprox. 3cm. ,X,X,b
,c,aprox. 6cm.,,0,
,d,aprox. 9cm.,,0,
BB101,,101. Ce materiale sunt folosite la fabricarea suspantelor?,,d,d
,a,Poliester și polietilenă (Dyneema).,,0,d
,b,Poliester și poliamid (nailon).,,0,d
,c,Aramid (Kevlar) și Poliester.,,0,d
,d,Polietilenă (Dyneema) și Aramid (Kevlar). ,X,X,d
